GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
going,com.example.going.controllers,ExploradorController,164,3,2,0,36,1,6,1,5,1
going,com.example.going.controllers,detalleController,2,3,0,0,1,1,1,1,1,1
going,com.example.going.controllers,PerfilController,137,3,8,0,33,1,7,1,3,1
going,com.example.going.controllers,AdminController,246,3,6,0,53,1,8,1,5,1
going,com.example.going.controllers,HomeControlador,28,10,2,0,8,4,4,3,3,3
going,com.example.going.models.request,ComentarioRequest,40,0,0,0,11,0,6,0,6,0
going,com.example.going.helpers,ViewRouteHelper,3,0,0,0,1,0,1,0,1,0
going,com.example.going.services.implementation,UserService,77,3,2,0,11,1,6,1,5,1
going,com.example.going.services.implementation,AvatarService,28,3,0,0,7,1,3,1,3,1
going,com.example.going.services.implementation,PersonaService,187,3,22,0,49,1,21,1,10,1
going,com.example.going.services.implementation,FotosService,33,3,0,0,10,1,4,1,4,1
going,com.example.going.services.implementation,LocacionService,118,3,10,0,31,1,13,1,8,1
going,com.example.going.services.implementation,ComentarioService,44,3,0,0,10,1,4,1,4,1
going,com.example.going.models,ComentarioModelo,30,28,0,0,5,12,3,6,3,6
going,com.example.going.models,PersonaModelo,102,103,0,0,28,32,13,8,13,8
going,com.example.going.models,AvatarModelo,64,18,0,0,20,8,8,4,8,4
going,com.example.going.models,UsuarioModelo,141,37,0,0,38,12,17,4,17,4
going,com.example.going.models,LocacionModelo,209,86,2,0,51,25,14,11,13,11
going,com.example.going.models,FotosModelo,49,15,0,0,22,6,9,3,9,3
going,com.example.going.models,UsuarioRolModelo,91,6,0,0,26,3,12,2,12,2
going,com.example.going,GoingApplication,5,3,0,0,2,1,1,1,1,1
going,com.example.going.converters,PersonaConverter,47,3,0,0,5,1,2,1,2,1
going,com.example.going.converters,ComentarioConverter,0,23,0,0,0,3,0,3,0,3
going,com.example.going.converters,UsuarioConverter,34,3,0,0,4,1,2,1,2,1
going,com.example.going.converters,AvatarConverter,0,19,0,0,0,3,0,3,0,3
going,com.example.going.converters,LocacionConverter,0,39,0,0,0,5,0,3,0,3
going,com.example.going.converters,FotosConverter,0,19,0,0,0,3,0,3,0,3
going,com.example.going.converters,UserRolConverter,62,3,4,0,12,1,6,1,4,1
going,com.example.going.entities,Comentarios,25,52,0,0,5,23,3,9,3,9
going,com.example.going.entities,Fotos,58,18,0,0,17,8,7,4,7,4
going,com.example.going.entities,UsuarioRol,74,6,0,0,31,3,13,2,13,2
going,com.example.going.entities,Avatar,36,18,0,0,16,8,7,4,7,4
going,com.example.going.entities,Persona,260,141,6,0,70,44,28,9,25,9
going,com.example.going.entities,Usuario,208,37,0,0,60,12,21,4,21,4
going,com.example.going.entities,Locacion,315,83,9,1,68,22,24,10,19,10
going,com.example.going.configuration,SecurityConfiguration,0,85,0,0,0,14,0,3,0,3
going,com.example.going.controllers.api.v0,ComentarioControllerRest,152,3,6,0,41,1,8,1,5,1
